organization,repo
yutiansut,QUANTAXIS
RasaHQ,rasa
jumpserver,jumpserver
bottlesdevs,Bottles
Lightning-AI,pytorch-lightning
fgmacedo,python-statemachine
run-llama,llama_index
ray-project,ray
sammchardy,python-binance
piskvorky,gensim
spotify,luigi
scrapy,scrapy
chatchat-space,Langchain-Chatchat
OlafenwaMoses,ImageAI
eriklindernoren,PyTorch-GAN
huggingface,datasets
chubin,wttr.in
nodejs,node-gyp
Textualize,textual
PaddlePaddle,PaddleOCR
Delgan,loguru
vnpy,vnpy
pyg-team,pytorch_geometric
joke2k,faker
espnet,espnet
chainer,chainer
zigpy,zha-device-handlers
gradio-app,gradio
saleor,saleor
scikit-rf,scikit-rf
ytdl-org,youtube-dl
coqui-ai,TTS
LAION-AI,Open-Assistant
ManimCommunity,manim
home-assistant,core
paperless-ngx,paperless-ngx
tqdm,tqdm
yoheinakajima,babyagi
cookiecutter,cookiecutter
gpt-engineer-org,gpt-engineer
canonical,microk8s
ipython,ipython
yukinarit,pyserde
matterport,Mask_RCNN
mps-youtube,yewtube
tensorflow,decision-forests
magenta,magenta
PostHog,posthog
abey79,vpype
openai,gym
microsoft,MMdnn
google-deepmind,pysc2
StackStorm,st2
keon,algorithms
Kanaries,pygwalker
cameronmaske,celery-once
j-bennet,wharfee
ycm-core,YouCompleteMe
kivy,kivy
psf,requests
quantopian,zipline
openspeech-team,openspeech
locustio,locust
testerSunshine,12306
yt-dlp,yt-dlp
localstack,localstack
reflex-dev,reflex
MycroftAI,mycroft-core
TencentARC,GFPGAN
google,python-fire
searxng,searxng
ccxt,ccxt
microsoft,DeepSpeed
ucbdrive,3d-vehicle-tracking
Sanster,IOPaint
psf,black
freqtrade,freqtrade
stas00,ml-engineering
wireservice,csvkit
certbot,certbot
public-apis,public-apis
stepjam,PyRep
facebook,prophet
tinygrad,tinygrad
kovidgoyal,calibre
huggingface,transformers
Avaiga,taipy
ultralytics,yolov5
commaai,openpilot
tornadoweb,tornado
open-mmlab,mmdetection
hankcs,HanLP
danielmiessler,fabric
langchain-ai,langchain
svc-develop-team,so-vits-svc
scikit-learn,scikit-learn
guardicore,monkey
byt3bl33d3r,CrackMapExec
getsentry,sentry
wzpan,wukong-robot
jina-ai,jina
zhayujie,chatgpt-on-wechat
binary-husky,gpt_academic
tensorflow,models
optuna,optuna
pyro-ppl,pyro
sanic-org,sanic
celery,celery
pytorch,pytorch
microsoft,promptflow
pypa,pipenv
WZMIAOMIAO,deep-learning-for-image-processing
django,django
google-research,text-to-text-transfer-transformer
jiaaro,pydub
LmeSzinc,AzurLaneAutoScript
ultralytics,ultralytics
bottlepy,bottle
webpy,webpy
pytorch,examples
ArchiveBox,ArchiveBox
mvt-project,mvt
ahawker,ulid
jhao104,proxy_pool
frappe,erpnext
Mikubill,sd-webui-controlnet
pallets,flask
aws,aws-sam-cli
geekan,MetaGPT
matplotlib,matplotlib
OpenBB-finance,OpenBBTerminal
OpenDevin,OpenDevin
python,cpython
bndr,pipreqs
stratosphereips,StratosphereLinuxIPS
getredash,redash
tweecode,twine
plotly,dash
nvbn,thefuck
Ultimaker,Cura
nicolargo,glances
AtsushiSakai,PythonRobotics
mindsdb,mindsdb
explosion,spaCy
coderedcorp,coderedcms
cupy,cupy
openatx,uiautomator2
scikit-video,scikit-video
akfamily,akshare
huggingface,pytorch-image-models
xtekky,gpt4free
sqlmapproject,sqlmap
nginx-proxy,nginx-proxy
pydantic,pydantic
Pythagora-io,gpt-pilot
lanpa,tensorboardX
DLR-RM,stable-baselines3
HumanSignal,labelImg
iperov,DeepFaceLive
faif,python-patterns
vllm-project,vllm
Yonv1943,Python
InstaPy,InstaPy
pandas-dev,pandas
SAML-Toolkits,python3-saml
Textualize,rich
deezer,spleeter
n1nj4sec,pupy
evilsocket,opensnitch
3b1b,manim
jazzband,django-debug-toolbar
mopidy,mopidy
AirtestProject,Airtest
ungoogled-software,ungoogled-chromium
huggingface,diffusers
facebookresearch,audiocraft
AUTOMATIC1111,stable-diffusion-webui
chyroc,WechatSogou
Lightning-AI,lit-llama
ansible,ansible
google-deepmind,sonnet
zulip,zulip
hpcaitech,ColossalAI
junyanz,pytorch-CycleGAN-and-pix2pix
d2l-ai,d2l-en
python-telegram-bot,python-telegram-bot
Theano,Theano
frappe,frappe
celery,django-celery-results
thunlp,OpenAttack
deepfakes,faceswap
TheAlgorithms,Python
apache,airflow
conan-io,conan
readthedocs,readthedocs.org
encode,django-rest-framework
python-poetry,poetry
sherlock-project,sherlock
pytorch,vision
scikit-image,scikit-image
facebookresearch,detectron2
recommenders-team,recommenders
speechbrain,speechbrain
